view_name,chinese_name,domain,purpose,row_grain,implementation_tier,readiness_status,readiness_blockers,grain_key,direct_lineage,physical_base_tables,readers,field_count,notes
v_finance_import_batch_current,当前获准财务批次,finance,为每个财务数据集、来源、地点范围、期间和来源层级选择唯一获准且未被替代的批次。,来源 × 数据集 × 地点范围 × 期间 × 来源层级一行,PHASE1,FIX_MODEL_CONTRACT,NULL_APPROVAL_TIMESTAMP_SELECTION_UNDEFINED,source_system_id + dataset_code + scope_location_id + period_start + period_end + source_layer,finance_import_batch,finance_import_batch,财务网站 | BakeryOps | 分析/BI,9,"只接受 status IN ('APPROVED','LOADED') 且 recognition_status IN ('APPROVED_FOR_RECONCILIATION','POSTED_ACCOUNTING')；排除被另一合格批次 supersedes 的批次；按来源、数据集、scope_location_id、期间、source_layer 分组后依次按 approved_at DESC、created_at DESC、finance_import_batch_id DESC 取一行。SOURCE_ONLY 与 POSTED_ACCOUNTING 绝不在同一指标中相加。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：scope_location_id；不得让 NULL 绕过去重或产生重复业务行。"
v_finance_labor_reconciliation,财务人工核对,finance,在地点月份粒度比较实际工时与财务人工成本，保持数量和金额两个事实独立。,location_id × business_month × finance_currency,SOURCE_CONDITIONAL,DEFER_SOURCE,SOURCE_CONTRACT_NOT_VERIFIED:HR_TIMESHEET_ENTRY | MULTI_CURRENCY_LABOR_PARTITION_RULE_UNDEFINED,location_id + business_month + finance_currency,v_hr_timesheet_entry_current | finance_monthly_cost_line | v_finance_import_batch_current,finance_import_batch | finance_monthly_cost_line | hr_timesheet_entry | hr_timesheet_sync_batch,财务网站 | BakeryOps | 分析/BI,9,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_finance_margin_reconciliation,财务毛利核对,finance,比较产品日毛利聚合与财务月度利润指标，并显示成本覆盖。,location_id × business_month × ops_currency_code × finance_currency_code,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_DAILY_MARGIN_DEPENDENCY | FINANCE_MARGIN_SOURCE_MAPPING_UNDEFINED | FINANCE_MONTHLY_METRIC_CURRENCY_NOT_STRUCTURED | CURRENCY_MATCH_RULE_UNDEFINED | RECONCILIATION_THRESHOLD_UNDEFINED,location_id + business_month + ops_currency_code + finance_currency_code,v_cost_card_product_daily_margin | finance_monthly_metric | finance_sales_daily | v_finance_import_batch_current | app_currency,app_currency | cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | finance_import_batch | finance_monthly_metric | finance_sales_daily | ops_business_rule | ops_location | ops_production_plan_line | ops_production_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | scm_material | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,12,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_finance_purchase_reconciliation,财务采购核对,finance,比较SCM实际收货采购额与财务供应商月采购和物流订货事实。,location_id × business_month × supplier_id × material_id × currency,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY | CURRENCY_PARTITION_SELECT_SPEC_MISSING,location_id + business_month + supplier_id + material_id + currency,scm_goods_receipt | scm_goods_receipt_line | scm_purchase_order_line | finance_supplier_purchase_monthly | finance_order_logistics_line | v_finance_import_batch_current,finance_import_batch | finance_order_logistics_line | finance_supplier_purchase_monthly | scm_goods_receipt | scm_goods_receipt_line | scm_purchase_order_line,财务网站 | 供应链 | 分析/BI,9,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_finance_sales_reconciliation,财务销售核对,finance,比较财务日销售与POS日销售，保留两侧口径和差异而不互相覆盖。,location_id × business_date,PHASE1,BLOCK_MISSING_FACT_OR_RULE,RECONCILIATION_THRESHOLD_UNDEFINED | CURRENCY_MATCH_RULE_UNDEFINED | RECONCILIATION_STATUS_PRECEDENCE_UNDEFINED,location_id + business_date,finance_sales_daily | v_finance_import_batch_current | v_pos_sales_day_current,finance_import_batch | finance_sales_daily | pos_ingest_batch | pos_sales_day,财务网站 | BakeryOps | 分析/BI,10,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_finance_target_current,当前财务经营目标,finance,为每个地点或公司、月份和指标选择唯一当前生效的批准目标版本。,地点或公司 × 月份 × 指标一行,PHASE1,FIX_MODEL_CONTRACT,NULL_APPROVAL_TIMESTAMP_SELECTION_UNDEFINED | ACTIVE_VERSION_CONFLICT_OUTPUT_MISSING,location_id + business_month + metric_code,finance_target,finance_target,财务网站 | BakeryOps | 分析/BI,8,只接受 status='ACTIVE'；按 location_id（NULL作为公司范围）、business_month、metric_code 分组，依次按 version_no DESC、approved_at DESC、finance_target_id DESC 取一行。多条ACTIVE本身是质量错误，不靠排序掩盖。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：location_id；不得让 NULL 绕过去重或产生重复业务行。
v_hr_application_current_stage,候选申请当前阶段,hr,从不可变阶段事件中确定性选出每个候选申请当前阶段，同时保留最新事件血缘。,候选申请一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,STAGE_SEQUENCE_VALIDATION_UNDEFINED | STAGE_QUALITY_STATUS_PRECEDENCE_UNDEFINED,application_id,hr_application | hr_application_stage_event,hr_application | hr_application_stage_event,BakeryOps | 分析/BI,8,按 application_id 分组，依次按 occurred_at DESC、application_stage_event_id DESC 取一行；相同时间由UUID稳定决胜。阶段顺序异常不自动修复，进入质量队列。
v_hr_assessment_summary,候选评估汇总,hr,从逐项评分派生加权总分、满分和得分率，并与评估建议及红线结论一起展示。,一次候选评估一行,PHASE1,FIX_MODEL_CONTRACT,ASSESSMENT_QUALITY_STATUS_PRECEDENCE_UNDEFINED,assessment_id,hr_assessment | hr_assessment_score,hr_assessment | hr_assessment_score,BakeryOps | 分析/BI,9,total_score 不落基础表。recommendation 和 red_flag 是人的决策事实，不允许仅由 score_rate 反推或覆盖。
v_hr_role_eligibility,员工岗位资格,hr,按当前日期汇总员工对岗位的培训要求、通过结果和有效期。,雇佣关系 × 岗位一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:TRAINING_AND_ONBOARDING,employment_id + role_id,hr_employment | ops_role_training_requirement | hr_training_course | hr_training_assignment | hr_training_result,hr_employment | hr_training_assignment | hr_training_course | hr_training_result | ops_role_training_requirement,BakeryOps | HR | 分析/BI,8,只读分析接口，不允许作为业务事实写入口。
v_hr_timesheet_entry_current,当前有效工时记录,hr,对来源系统同一工时记录的多次获准采集确定性选出当前版本，避免重跑或更正被重复计入人效。,来源系统 × 外部工时ID一行,SOURCE_CONDITIONAL,DEFER_SOURCE,SOURCE_CONTRACT_NOT_VERIFIED:HR_TIMESHEET_ENTRY,source_system_id + source_entry_id,hr_timesheet_sync_batch | hr_timesheet_entry,hr_timesheet_entry | hr_timesheet_sync_batch,BakeryOps | 财务网站 | 分析/BI,12,只读取 SUCCEEDED 或按规则允许的 PARTIAL 批次；按 source_system_id、source_entry_id 分组，以批次 completed_at DESC、timesheet_sync_batch_id DESC 确定性选版。同一 idempotency_key 不产生第二批。来源撤销/删除语义未获证前，本视图和两张工时表均保持 SOURCE_CONDITIONAL。
v_identity_mapping_gap,身份映射缺口,app,集中列出尚未确认的地点、POS商品、员工和原料来源身份，并估计影响范围。,R6A1 structure-only; grain key unresolved,PHASE1,BLOCK_MISSING_FACT_OR_RULE,UNDEFINED_GRAIN_KEY | AFFECTED_FACT_UNIVERSE_UNDEFINED | GAP_REASON_RULE_UNDEFINED | AFFECTED_AMOUNT_CURRENCY_CARDINALITY_UNDEFINED,UNDEFINED,ops_location_source_identity | pos_product_listing | pos_product_mapping | pos_product_mapping_review | hr_employment_source_identity | hr_employment_mapping_review | scm_material_source_identity,hr_employment_mapping_review | hr_employment_source_identity | ops_location_source_identity | pos_product_listing | pos_product_mapping | pos_product_mapping_review | scm_material_source_identity,所有项目 | 分析/BI,9,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_mkt_campaign_performance,活动效果,mkt,汇总活动版本的资格、邀请、开始、完成、奖励和库存结果。,活动版本 × 可选地点一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,CAMPAIGN_LOCATION_ATTRIBUTION_UNDEFINED | RATE_DENOMINATOR_UNDEFINED | CAMPAIGN_QUALITY_STATUS_RULE_UNDEFINED,campaign_version_id + location_id,mkt_campaign_version | mkt_campaign_member | mkt_survey_response | mkt_survey_result | mkt_reward_claim | mkt_reward_stock,mkt_campaign_member | mkt_campaign_version | mkt_reward_claim | mkt_reward_stock | mkt_survey_response | mkt_survey_result,HBTI | 财务网站 | 分析/BI,12,只统计 campaign_version.result_algorithm_version 明确批准的 VALID 结果；离线重算版本保留但不自动改变会员、奖励或历史漏斗。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：location_id；不得让 NULL 绕过去重或产生重复业务行。
v_mkt_reward_stock_reconciliation,奖励库存计数核对,mkt,比较奖励库存事务控制行与领取事实按状态汇总的数量，识别并发失败或异常修复造成的漂移。,活动版本 × 地点 × 奖励一行,PHASE1,PASS_SELECT_SPEC,,campaign_version_id + location_id + reward_id,mkt_reward_stock | mkt_reward_claim,mkt_reward_claim | mkt_reward_stock,HBTI | 财务网站 | 分析/BI,10,SELECT 规格固定为 stock-driven：以 mkt_reward_stock 为全集 LEFT JOIN 仅 reward_stock_id 非空且等于库存行的 mkt_reward_claim，再按 claim.status 汇总 quantity；stockless 外部履约不进入库存核对。来源审计中的 Butterfly 库存 issued=1 但无对应 claim，必须输出 DRIFT，禁止为了 MATCH 伪造 claim。reward_stock 的计数因并发控制需要物理保存，但它不是唯一分析事实。location_id 是 nullable grain key，物化唯一语义必须使用 NULLS NOT DISTINCT。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：location_id；不得让 NULL 绕过去重或产生重复业务行。
v_msg_delivery_current,消息当前投递状态,msg,从外发队列、不可变投递尝试和可选渠道回执中确定性选出当前状态、重试摘要与业务推送成功去重结论。,外发消息一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:CHANNEL_RECEIPTS,outbound_message_id,msg_outbound_message | msg_message | msg_delivery_attempt | msg_delivery_event,msg_delivery_attempt | msg_delivery_event | msg_message | msg_outbound_message,BakeryOps | HBTI | 分析/BI,12,渠道回执存在时先按 occurred_at，再按批准的状态优先级，最后按 delivery_event_id 打破平局；无回执时只允许从成功 delivery_attempt/队列状态判断 SENT，绝不推断 DELIVERED 或 READ。attempt_count、last_error_code 和 is_successful_business_push 都由底层事实派生。
v_ops_daily_review_current,当前批准运营复盘,ops,为每个地点营业日选择唯一、最新的已批准复盘版本，并保留店长结构化核对数字。,location_id × business_date,PHASE1,FIX_MODEL_CONTRACT,NULL_APPROVAL_TIMESTAMP_SELECTION_UNDEFINED | APPROVED_VERSION_CONFLICT_OUTPUT_MISSING | AMENDED_SELECT_SPEC_MISSING,location_id + business_date,ops_daily_review,ops_daily_review,BakeryOps | 财务网站 | 分析/BI,12,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_ops_forecast_accuracy,预测准确率,ops,将预测行与实际产品日销量配对，区分高估、低估、未计划和未映射。,地点 × 目标营业日 × 产品 × 预测运行一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,ERROR_RATE_DENOMINATOR_UNDEFINED | FORECAST_ACTUAL_MATCH_RULE_UNDEFINED,forecast_run_id + product_id,ops_forecast_run | ops_forecast_line | v_pos_item_sales_day | ops_product,ops_forecast_line | ops_forecast_run | ops_product | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping,BakeryOps | 分析/BI,10,只读分析接口，不允许作为业务事实写入口。
v_ops_holiday_factor,节假日需求因子,ops,从节假日日历与历史产品日销售按批准窗口即时计算地点、产品或品类需求因子，不保存第二份观察结果。,事件 × 地点 × 产品或品类一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,LOCATION_EVENT_APPLICABILITY_UNDEFINED | BASELINE_WINDOW_RULE_UNDEFINED | MINIMUM_SAMPLE_RULE_UNDEFINED | FACTOR_FALLBACK_RULE_UNDEFINED,calendar_event_id + location_id + product_id + category_code,ops_calendar_event | v_pos_item_sales_day | ops_product | ops_business_rule | ops_location,ops_business_rule | ops_calendar_event | ops_location | ops_product | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping,BakeryOps | 分析/BI,13,"每行必须满足 num_nonnulls(product_id, category_code) = 1。factor=observed_quantity/NULLIF(baseline_quantity,0)，计算规则来自带有效期的 ops_business_rule。低样本、缺映射和兜底必须显式标记；FALLBACK 不是历史实测。若未来要冻结模型训练集，应新增经批准的模型数据集版本，而不是把每次可重算因子都落成业务表。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：product_id, category_code；不得让 NULL 绕过去重或产生重复业务行。"
v_ops_item_daily_pulse,产品每日全景,ops,把计划、实际产出、配送、销售、报废、断货和成本质量放到同一产品日行。,地点 × 营业日 × 产品一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PRODUCTION_EXECUTION,location_id + business_date + product_id,ops_production_plan_line | ops_production_plan_version | ops_production_run_line | ops_dispatch_line | v_pos_item_sales_day | v_pos_item_waste_mapped | ops_stockout_event,ops_dispatch_line | ops_production_plan_line | ops_production_plan_version | ops_production_run_line | ops_stockout_event | pos_ingest_batch | pos_item_sales_hour | pos_item_waste | pos_product_listing | pos_product_mapping,BakeryOps | 财务网站 | 分析/BI,10,只读分析接口，不允许作为业务事实写入口。
v_ops_labor_productivity,门店人效,ops,在地点营业日粒度比较实际净工时与 POS 净销售；不伪造产品级人工成本。,location_id × business_date × sales_currency,SOURCE_CONDITIONAL,DEFER_SOURCE,SOURCE_CONTRACT_NOT_VERIFIED:HR_TIMESHEET_ENTRY | EXTENSION_PACK_NOT_ACTIVATED:SHIFT_AND_WORKFORCE | AMENDED_SELECT_SPEC_MISSING,location_id + business_date + sales_currency,v_hr_timesheet_entry_current | v_pos_sales_day_current | ops_shift_assignment | ops_shift_requirement,hr_timesheet_entry | hr_timesheet_sync_batch | ops_shift_assignment | ops_shift_requirement | pos_ingest_batch | pos_sales_day,BakeryOps | 财务网站 | 分析/BI,9,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_ops_manager_sales_reconciliation,店长输入与POS核对,ops,比较复盘中店长确认的营业额与POS实测，显示差异而不覆盖任一来源。,daily_review_id,PHASE1,BLOCK_MISSING_FACT_OR_RULE,RECONCILIATION_THRESHOLD_UNDEFINED | RECONCILIATION_STATUS_PRECEDENCE_UNDEFINED | CURRENCY_MATCH_RULE_UNDEFINED,daily_review_id,v_ops_daily_review_current | v_pos_sales_day_current,ops_daily_review | pos_ingest_batch | pos_sales_day,BakeryOps | 分析/BI,10,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
