audit_position,model_version,table_name,chinese_name,domain,foundation_tier,lifecycle,row_grain,storage_class,minimum_grain_verdict,derivability,physical_reason,derived_fields_or_outputs,action,r5_status,claude_fable_5_result,writer,readers,mutation_policy
27,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_ingest_batch,POS导入批次,pos,CORE_BUSINESS,CORE_MIGRATION,某地点 × 某数据集 × 一次抓取或重跑一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录每次 RES/POS 抓取的数据集、窗口、游标、校验值和完整性。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
28,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_product_listing,POS商品listing,pos,CORE_BUSINESS,CORE_MIGRATION,来源系统 × 来源组织 × 外部商品ID一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存某来源组织/门店菜单中的商品身份和当前目录属性，不直接等同于企业 product_id。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
29,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_product_mapping,POS商品到统一产品映射,pos,CORE_BUSINESS,CORE_MIGRATION,POS listing × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,版本化保存 listing 与 product_id 的确认关系，使历史销售按当时映射重现。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,产品身份审核流程,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
30,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_product_mapping_review,POS商品映射审核队列,pos,CORE_BUSINESS,CORE_MIGRATION,一个 listing 的一次待审核问题一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存无法自动唯一映射的 listing 候选和处理结论。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,产品身份审核流程,BakeryOps | 财务网站,CONTROLLED_WORKFLOW
31,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_sales_day,POS门店日销售事实,pos,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业日 × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,保存某地点某营业日某批次的销售、折扣、订单和来源平均客单观察。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,average_order_value -> v_pos_sales_day_current,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,BakeryOps | 财务网站 | 分析/BI,APPEND_ONLY
32,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_sales_hour,POS门店小时销售事实,pos,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业日 × 营业小时 × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存门店每个营业小时的销售和订单汇总。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,BakeryOps | 财务网站 | 分析/BI,APPEND_ONLY
33,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_item_sales_hour,POS商品小时销售事实,pos,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业小时 × POS listing × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存 listing 在每个营业小时的销量和销售额；即使尚未映射 product_id 也能完整入库。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,BakeryOps | 财务网站 | 分析/BI,APPEND_ONLY
34,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_daily_breakdown,POS日销售维度拆分,pos,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业日 × 维度类型 × 维度值 × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存支付方式、就餐方式或渠道等日销售拆分，避免把不同维度做成固定宽列。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | BakeryOps | 分析/BI,APPEND_ONLY
35,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_item_waste,POS商品报废事实,pos,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业日 × listing × 来源报废记录 × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存来源报废记录及标准原因，不把试吃等营销用途默认算作损失。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,BakeryOps | 财务网站 | 分析/BI,APPEND_ONLY
36,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_stockout_event,商品断货事件,ops,CORE_BUSINESS,CORE_MIGRATION,地点 × listing × 一次连续断货区间一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录人工确认或算法识别的断货时段、证据及估算损失。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 断货检测；人工可确认,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
37,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_order,POS订单稳定身份,pos,CORE_BUSINESS,CORE_MIGRATION,来源系统 × 地点 × 外部订单ID一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,只保存来源订单的稳定身份，不把尚未证明存在的订单头金额、状态或时间硬塞进同一行。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | BakeryOps | HBTI | 分析/BI,APPEND_ONLY
38,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_order_item,POS订单商品最小事实,pos,CORE_BUSINESS,CORE_MIGRATION,POS批次 × 订单 × listing 一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,按一次来源批次保存订单内同一 listing 的合计数量与净额；这是当前可稳定重跑的最小商品粒度。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | BakeryOps | HBTI | 分析/BI,APPEND_ONLY
39,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_payment,POS支付记录,pos,SOURCE_CONDITIONAL,SOURCE_CONDITIONAL,每个来源支付记录一行,SOURCE_CONDITIONAL,NOT_PHASE1_SOURCE_UNVERIFIED,UNKNOWN_UNTIL_SOURCE_VERIFIED,保存订单的一次支付或支付状态变化。；外部来源身份、粒度、权限和重跑契约尚未验证，当前只保留目标契约，不建正式表。,,DEFER_UNTIL_SOURCE_PROVEN,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_DEFER_SOURCE,RES/POS 同步服务,财务网站 | 分析/BI,SOURCE_STATE_UNTIL_TERMINAL
40,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_refund,POS退款记录,pos,SOURCE_CONDITIONAL,SOURCE_CONDITIONAL,每个来源退款记录一行,SOURCE_CONDITIONAL,NOT_PHASE1_SOURCE_UNVERIFIED,UNKNOWN_UNTIL_SOURCE_VERIFIED,保存订单或订单行级退款，不用负销售行替代退款事实。；外部来源身份、粒度、权限和重跑契约尚未验证，当前只保留目标契约，不建正式表。,,DEFER_UNTIL_SOURCE_PROVEN,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_DEFER_SOURCE,RES/POS 同步服务,财务网站 | BakeryOps | 分析/BI,APPEND_ONLY
41,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_member,POS会员主档,pos,CORE_BUSINESS,CORE_MIGRATION,每个企业内可识别的 POS 会员一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,只保存会员非敏感稳定身份和企业治理状态；每天变化的等级、积分、累计值和余额进入会员状态快照，联系方式另表隔离。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,has_card -> EXISTS(pos_member_card) | has_profile/last_snapshot_date/level/growth/points/lifetime amounts/current balances -> v_pos_member_state_current from append-only snapshots,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | HBTI | 分析/BI,CONTROLLED_UPDATE
