object_type,object_name,ordinal_position,column_name,data_type,nullable,default,identity_kind,generated_kind,meaning,meaning_evidence_status,constraints,misuse_warning
table,ai_daily_correction,2,date,character varying(10),False,—,,,当前表使用的日期字段；是否为营业日及其时区需按写入代码确认。,合理推测：通用命名；需代码确认,unique: UNIQUE (date),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_daily_correction,3,coefficient,double precision,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_daily_correction,4,reason,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_daily_correction,5,adopted_at,timestamp with time zone,True,now(),,,字段名显示它可能存放 adopted 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_daily_correction,6,adopted_by,character varying(64),True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,1,id,bigint,False,nextval('app_audit_log_id_seq'::regclass),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE SET NULL | primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,2,user_id,bigint,True,—,,,字段名显示它可能存放 user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,foreign_key: FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE SET NULL,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,3,action,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (btrim(action) <> ''::text),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,4,object_type,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (btrim(object_type) <> ''::text),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,5,object_id,text,True,—,,,字段名显示它可能存放 object 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,6,before_data,jsonb,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,7,after_data,jsonb,True,—,,,审计载荷（JSON 对象）。084 起 action='finance.import' 的这一列就是财务导入的权威批次账本：batchId / payloadSha256 / results / sourceFiles / storeSlots / rowCount / templateTypes / stores，幂等判定与上传历史页都读它。⚠ 写入必须用 ${json}::text::jsonb —— 写成 ::jsonb 会被 postgres.js 二次编码成 jsonb 字符串。,已确认：生产库字段注释,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,8,result,text,False,'success'::text,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (result = ANY (ARRAY['success'::text, 'denied'::text, 'failed'::text, 'attempted'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,9,request_id,text,True,—,,,字段名显示它可能存放 request 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,10,user_agent,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,11,ip_address,inet,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_audit_log,12,created_at,timestamp with time zone,False,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_role,1,id,bigint,False,nextval('app_role_id_seq'::regclass),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_role,2,code,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (code ~ '^[a-z][a-z0-9_.-]*$'::text) | unique: UNIQUE (code),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_role,3,name,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (btrim(name) <> ''::text),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_role,4,description,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_role,5,created_at,timestamp with time zone,False,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_role,6,permissions,text[],False,'{}'::text[],,,该角色拥有的权限码；← app_permission + app_role_permission（071 折入）。,已确认：生产库字段注释,"check: CHECK (permissions <@ ARRAY['finance.read'::text, 'finance.import'::text, 'cost_card.read'::text, 'cost_card.write'::text, 'cost_card.publish'::text, 'cost_item.price.write'::text, 'admin.users'::text, 'audit.read'::text])",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,1,id,uuid,False,gen_random_uuid(),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE | primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,2,user_id,bigint,False,—,,,字段名显示它可能存放 user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,foreign_key: FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,3,token_hash,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (token_hash ~ '^[0-9a-f]{64}$'::text) | unique: UNIQUE (token_hash),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,4,expires_at,timestamp with time zone,False,—,,,字段名显示它可能存放 expires 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,check: CHECK (expires_at > created_at),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,5,revoked_at,timestamp with time zone,True,—,,,字段名显示它可能存放 revoked 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,6,user_agent,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,7,ip_address,inet,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,8,created_at,timestamp with time zone,False,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,check: CHECK (expires_at > created_at),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_session,9,last_seen_at,timestamp with time zone,False,now(),,,字段名显示它可能存放 last_seen 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,1,id,bigint,False,nextval('app_user_id_seq'::regclass),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,2,username,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (btrim(username) <> ''::text),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,3,display_name,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (btrim(display_name) <> ''::text),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,4,email,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,5,password_hash,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (btrim(password_hash) <> ''::text),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,6,is_active,boolean,False,true,,,字段名显示它可能是 is_active 的布尔标记；NULL 与 false 是否不同需确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,7,must_change_password,boolean,False,true,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,8,failed_login_count,integer,False,0,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,check: CHECK (failed_login_count >= 0),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,9,locked_until,timestamp with time zone,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,10,last_login_at,timestamp with time zone,True,—,,,字段名显示它可能存放 last_login 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,11,password_changed_at,timestamp with time zone,True,—,,,字段名显示它可能存放 password_changed 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,12,created_at,timestamp with time zone,False,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,13,updated_at,timestamp with time zone,False,now(),,,该行最后一次更新数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,14,role_code,text,False,'viewer'::text,,,账号角色（← app_user_role，082 折入）。一个账号恰好一个角色，由 api/users.js 保证。会话载荷仍返回 roles: [role_code] 数组形状 —— isAdminRole(roles).includes('admin') 依赖它。,已确认：生产库字段注释,foreign_key: FOREIGN KEY (role_code) REFERENCES app_role(code) ON UPDATE CASCADE ON DELETE RESTRICT,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,15,role_assigned_by,bigint,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user,16,role_assigned_at,timestamp with time zone,True,—,,,字段名显示它可能存放 role_assigned 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_role_pre083,1,user_id,bigint,True,—,,,字段名显示它可能存放 user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_role_pre083,2,role_id,bigint,True,—,,,字段名显示它可能存放 role 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_role_pre083,3,assigned_by,bigint,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_role_pre083,4,assigned_at,timestamp with time zone,True,—,,,字段名显示它可能存放 assigned 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_store_scope,1,user_id,bigint,False,—,,,字段名显示它可能存放 user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,"foreign_key: FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE | primary_key: PRIMARY KEY (user_id, store)",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_store_scope,2,store,text,False,—,,,当前库使用的门店文本/代码；现有表之间没有统一稳定身份保证。,合理推测：通用命名；需代码确认,"foreign_key: FOREIGN KEY (store) REFERENCES finance_store(store) ON UPDATE CASCADE ON DELETE RESTRICT | primary_key: PRIMARY KEY (user_id, store)",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_store_scope,3,assigned_by,bigint,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,foreign_key: FOREIGN KEY (assigned_by) REFERENCES app_user(id) ON DELETE SET NULL,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,app_user_store_scope,4,assigned_at,timestamp with time zone,False,now(),,,字段名显示它可能存放 assigned 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,1,id,uuid,False,gen_random_uuid(),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (employee_id) REFERENCES employees(id) | foreign_key: FOREIGN KEY (job_opening_id) REFERENCES job_openings(id) | primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,2,store_id,text,False,—,,,当前表声明的门店标识；需确认它引用哪套门店主数据。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (store_id) REFERENCES ops_store(store_code),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,3,job_opening_id,uuid,True,—,,,字段名显示它可能存放 job_opening 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,foreign_key: FOREIGN KEY (job_opening_id) REFERENCES job_openings(id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,4,employee_id,uuid,True,—,,,当前员工标识；需核对 employees、staff 或外部人事来源。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (employee_id) REFERENCES employees(id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,5,external_applicant_id,text,True,—,,,字段名显示它可能存放 external_applicant 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,6,name,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,7,phone,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,8,contact_status,text,False,'needs_manual'::text,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (contact_status = ANY (ARRAY['ready'::text, 'needs_manual'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,9,role_area,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,10,position_code,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,11,stage,application_stage,False,'new'::application_stage,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,12,source,text,True,—,,,来源标签；当前是否有受控字典和强约束需逐表确认。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,13,lark_record_id,text,True,—,,,字段名显示它可能存放 lark_record 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,14,applied_at,timestamp with time zone,True,—,,,字段名显示它可能存放 applied 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,15,created_at,timestamp with time zone,False,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,applications,16,updated_at,timestamp with time zone,False,now(),,,该行最后一次更新数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,1,id,uuid,False,gen_random_uuid(),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (application_id) REFERENCES applications(id) | primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,2,store_id,text,False,—,,,当前表声明的门店标识；需确认它引用哪套门店主数据。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (store_id) REFERENCES ops_store(store_code),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,3,application_id,uuid,False,—,,,字段名显示它可能存放 application 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,foreign_key: FOREIGN KEY (application_id) REFERENCES applications(id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,4,kind,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (kind = ANY (ARRAY['interview'::text, 'trial'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,5,role_area,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,6,position_code,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,7,scheduled_for,timestamp with time zone,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,8,trial_duration,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (trial_duration = ANY (ARRAY['1小时'::text, '4小时'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,9,status,text,False,'proposed'::text,,,该行业务状态；合法状态集合以当前 CHECK 或写入代码为准。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,10,confirmed_by_user_id,text,True,—,,,字段名显示它可能存放 confirmed_by_user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,foreign_key: FOREIGN KEY (confirmed_by_user_id) REFERENCES staff(user_id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,11,confirmed_at,timestamp with time zone,True,—,,,字段名显示它可能存放 confirmed 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,12,lark_record_id,text,True,—,,,字段名显示它可能存放 lark_record 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,appointments,13,created_at,timestamp with time zone,False,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,business_rule,1,id,integer,False,nextval('business_rule_id_seq'::regclass),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,business_rule,2,rule_key,character varying(100),False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,unique: UNIQUE (rule_key),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,business_rule,3,rule_value,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,business_rule,4,created_at,timestamp with time zone,True,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,business_rule,5,updated_at,timestamp with time zone,True,now(),,,该行最后一次更新数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,1,id,uuid,False,gen_random_uuid(),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,foreign_key: FOREIGN KEY (application_id) REFERENCES applications(id) | primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,2,store_id,text,False,—,,,当前表声明的门店标识；需确认它引用哪套门店主数据。,合理推测：通用命名；需代码确认,"foreign_key: FOREIGN KEY (store_id) REFERENCES ops_store(store_code) | unique: UNIQUE (store_id, phone)",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,3,application_id,uuid,True,—,,,字段名显示它可能存放 application 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,foreign_key: FOREIGN KEY (application_id) REFERENCES applications(id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,4,phone,text,False,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"unique: UNIQUE (store_id, phone)",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,5,state,text,False,'INTAKE'::text,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,"check: CHECK (state = ANY (ARRAY['INTAKE'::text, 'AWAITING_INTERVIEW_CONFIRM'::text, 'INTERVIEW_SCHEDULED'::text, 'AWAITING_TRIAL_CONFIRM'::text, 'TRIAL_SCHEDULED'::text, 'POST_TRIAL'::text, 'DONE'::text, 'OPTED_OUT'::text]))",现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,6,context,jsonb,False,'{}'::jsonb,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,candidate_conversations,7,opted_out,boolean,False,false,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
