current_object_type,current_object,ordinal_position,current_field,current_data_type,current_nullable,current_meaning,meaning_evidence_status,field_disposition,target_field_or_disposition,mapping_basis,field_migration_rule,object_migration_rule,compatibility_rule,risk,implementation_status
table,ai_daily_correction,2,date,character varying(10),False,当前表使用的日期字段；是否为营业日及其时区需按写入代码确认。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ops_production_plan_line | ai_call,OBJECT_TRANSFORMATION_RULE,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_daily_correction,3,coefficient,double precision,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ops_production_plan_line | ai_call,OBJECT_TRANSFORMATION_RULE,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_daily_correction,4,reason,text,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ops_production_plan_line | ai_call,OBJECT_TRANSFORMATION_RULE,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_daily_correction,5,adopted_at,timestamp with time zone,True,字段名显示它可能存放 adopted 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ops_production_plan_line | ai_call,OBJECT_TRANSFORMATION_RULE,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_daily_correction,6,adopted_by,character varying(64),True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ops_production_plan_line | ai_call,OBJECT_TRANSFORMATION_RULE,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,1,id,bigint,False,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_audit_event,OBJECT_TRANSFORMATION_RULE,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,2,user_id,bigint,True,字段名显示它可能存放 user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_audit_event,OBJECT_TRANSFORMATION_RULE,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,3,action,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_audit_event,OBJECT_TRANSFORMATION_RULE,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,4,object_type,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.object_type,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,5,object_id,text,True,字段名显示它可能存放 object 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.object_id,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,6,before_data,jsonb,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.before_data,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,7,after_data,jsonb,True,审计载荷（JSON 对象）。084 起 action='finance.import' 的这一列就是财务导入的权威批次账本：batchId / payloadSha256 / results / sourceFiles / storeSlots / rowCount / templateTypes / stores，幂等判定与上传历史页都读它。⚠ 写入必须用 ${json}::text::jsonb —— 写成 ::jsonb 会被 postgres.js 二次编码成 jsonb 字符串。,已确认：生产库字段注释,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.after_data,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,8,result,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.result,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,9,request_id,text,True,字段名显示它可能存放 request 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.request_id,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,10,user_agent,text,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.user_agent,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,11,ip_address,inet,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_audit_event.ip_address,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_audit_log,12,created_at,timestamp with time zone,False,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_audit_event,OBJECT_TRANSFORMATION_RULE,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_role,1,id,bigint,False,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_role,OBJECT_TRANSFORMATION_RULE,按role_code迁移并与新权限字典重新审核。,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_role,2,code,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_role,OBJECT_TRANSFORMATION_RULE,按role_code迁移并与新权限字典重新审核。,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_role,3,name,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_role,OBJECT_TRANSFORMATION_RULE,按role_code迁移并与新权限字典重新审核。,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_role,4,description,text,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_role.description,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_role,5,created_at,timestamp with time zone,False,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,PRESERVE_IF_SEMANTICS_MATCH,app_role.created_at,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_role,6,permissions,text[],False,该角色拥有的权限码；← app_permission + app_role_permission（071 折入）。,已确认：生产库字段注释,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_role,OBJECT_TRANSFORMATION_RULE,按role_code迁移并与新权限字典重新审核。,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,1,id,uuid,False,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_session,OBJECT_TRANSFORMATION_RULE,不迁移活动会话令牌；切换时统一失效并要求重新登录。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,2,user_id,bigint,False,字段名显示它可能存放 user 的标识；当前数据库未给该列注释，是否有外键及命名空间见约束列。,合理推测,PRESERVE_IF_SEMANTICS_MATCH,app_session.user_id,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,3,token_hash,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_session.token_hash,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,4,expires_at,timestamp with time zone,False,字段名显示它可能存放 expires 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,PRESERVE_IF_SEMANTICS_MATCH,app_session.expires_at,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,5,revoked_at,timestamp with time zone,True,字段名显示它可能存放 revoked 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,PRESERVE_IF_SEMANTICS_MATCH,app_session.revoked_at,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,6,user_agent,text,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_session.user_agent,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,7,ip_address,inet,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_session.ip_address,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,8,created_at,timestamp with time zone,False,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_session,OBJECT_TRANSFORMATION_RULE,不迁移活动会话令牌；切换时统一失效并要求重新登录。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_session,9,last_seen_at,timestamp with time zone,False,字段名显示它可能存放 last_seen 的时间；发生、生效还是入库时间需由写入代码确认。,合理推测,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_session,OBJECT_TRANSFORMATION_RULE,不迁移活动会话令牌；切换时统一失效并要求重新登录。,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_user,1,id,bigint,False,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:app_user | app_user_role,OBJECT_TRANSFORMATION_RULE,账号状态和密码哈希经算法兼容检查后迁移；role_code转换为角色关系；无法验证哈希则强制改密。,账号状态和密码哈希经算法兼容检查后迁移；role_code转换为角色关系；无法验证哈希则强制改密。,登录接口支持一次性强制改密，不复制明文或临时密码。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,app_user,2,username,text,False,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,app_user.username,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,账号状态和密码哈希经算法兼容检查后迁移；role_code转换为角色关系；无法验证哈希则强制改密。,登录接口支持一次性强制改密，不复制明文或临时密码。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
