table_name,foundation_tier,lifecycle,writer,mutation_policy,primary_key,unique_constraints,required_fk_indexes,deferred_fk_constraints,row_access_contract,write_and_freeze_contract,delete_contract,special_constraint_guards,implementation_status
app_user_location_scope,CORE_PLATFORM,CORE_MIGRATION,身份管理服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,user_location_scope_id,user_role_id + location_id + scope_level + valid_from,granted_by_user_id | location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_session,CORE_PLATFORM,CORE_MIGRATION,身份管理服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,session_id,token_hash,user_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
app_one_time_token,CORE_PLATFORM,CORE_MIGRATION,令牌服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,one_time_token_id,token_hash,application_id | campaign_member_id | member_id | user_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_rate_limit_event,CORE_PLATFORM,CORE_MIGRATION,API 网关或限流服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,rate_limit_event_id,scope_code + key_hash + window_started_at + window_seconds,NONE,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
ops_location,CORE_BUSINESS,CORE_MIGRATION,BakeryOps 主数据管理,CONTROLLED_UPDATE,location_id,location_code,parent_location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
ops_location_source_identity,CORE_BUSINESS,CORE_MIGRATION,BakeryOps 主数据审核,CONTROLLED_UPDATE,location_source_identity_id,source_system_id + source_container_id + source_location_id + valid_from [NULLS NOT DISTINCT：空值也参与去重],created_by_user_id | location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
ops_product,CORE_BUSINESS,CORE_MIGRATION,BakeryOps 产品主数据管理,CONTROLLED_UPDATE,product_id,product_code,base_unit_id | created_by_user_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
ops_product_alias,CORE_BUSINESS,CORE_MIGRATION,BakeryOps 产品主数据管理,CONTROLLED_UPDATE,product_alias_id,source_system_id + alias_text + valid_from [NULLS NOT DISTINCT：空值也参与去重],created_by_user_id | product_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
hr_person,CORE_BUSINESS,CORE_MIGRATION,HR 主数据流程,CONTROLLED_UPDATE,person_id,dedupe_fingerprint [NULLS DISTINCT：仅非空值去重，允许多条空值],created_by_user_id | merged_into_person_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
hr_person_contact,CORE_BUSINESS,CORE_MIGRATION,HR 主数据流程,CONTROLLED_UPDATE,person_contact_id,person_id + contact_type + lookup_hash + valid_from,created_by_user_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
hr_employment,CORE_BUSINESS,CORE_MIGRATION,HR 主数据流程,CONTROLLED_UPDATE,employment_id,employee_code | origin_application_id [NULLS DISTINCT：仅非空值去重，允许多条空值],created_by_user_id | home_location_id | person_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
hr_employment_source_identity,CORE_BUSINESS,CORE_MIGRATION,HR 身份审核,CONTROLLED_UPDATE,employment_source_identity_id,source_system_id + source_employee_id + valid_from,created_by_user_id | employment_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
hr_employment_mapping_review,CORE_BUSINESS,CORE_MIGRATION,HR 身份审核,CONTROLLED_UPDATE,employment_mapping_review_id,NONE_BEYOND_PRIMARY_KEY,candidate_employment_id | candidate_person_id | confirmed_source_identity_id | created_by_user_id | reviewed_by_user_id | source_system_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
scm_material,CORE_BUSINESS,CORE_MIGRATION,供应链主数据流程,CONTROLLED_UPDATE,material_id,material_code,base_unit_id | created_by_user_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
scm_material_alias,CORE_BUSINESS,CORE_MIGRATION,供应链主数据流程,CONTROLLED_UPDATE,material_alias_id,source_system_id + alias_text + valid_from [NULLS NOT DISTINCT：空值也参与去重],created_by_user_id | material_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
scm_material_source_identity,CORE_BUSINESS,CORE_MIGRATION,供应链主数据审核,CONTROLLED_UPDATE,material_source_identity_id,source_system_id + source_material_id + valid_from,created_by_user_id | material_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_ingest_batch,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,pos_ingest_batch_id,source_system_id + location_id + dataset_code + source_batch_id [NULLS DISTINCT：仅非空值去重，允许多条空值] | idempotency_key,job_run_id | location_id | supersedes_pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_product_listing,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,CONTROLLED_UPDATE,listing_id,source_system_id + source_organization_id + source_item_id | source_system_id + source_item_key,location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_product_mapping,CORE_BUSINESS,CORE_MIGRATION,产品身份审核流程,CONTROLLED_UPDATE,product_mapping_id,listing_id + valid_from,created_by_user_id | product_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_product_mapping_review,CORE_BUSINESS,CORE_MIGRATION,产品身份审核流程,CONTROLLED_WORKFLOW,mapping_review_id,NONE_BEYOND_PRIMARY_KEY,candidate_product_id | created_by_user_id | listing_id | reviewed_by_user_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,只允许批准的状态机迁移并记录操作者和时间,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_sales_day,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,sales_day_id,location_id + business_date + pos_ingest_batch_id,pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_sales_hour,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,sales_hour_id,location_id + hour_started_at + pos_ingest_batch_id,pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_item_sales_hour,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,item_sales_hour_id,location_id + hour_started_at + listing_id + pos_ingest_batch_id,listing_id | pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_daily_breakdown,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,daily_breakdown_id,location_id + business_date + dimension_type + dimension_value + pos_ingest_batch_id,pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_item_waste,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,waste_id,pos_ingest_batch_id + source_row_fingerprint | pos_ingest_batch_id + source_waste_id [NULLS DISTINCT：仅非空值去重，允许多条空值],listing_id | location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
ops_stockout_event,CORE_BUSINESS,CORE_MIGRATION,BakeryOps 断货检测；人工可确认,CONTROLLED_UPDATE_UNTIL_TERMINAL,stockout_event_id,NONE_BEYOND_PRIMARY_KEY,created_by_user_id | detected_job_run_id | listing_id | location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_order,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,order_id,source_system_id + location_id + source_order_id,first_seen_pos_ingest_batch_id | location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_order_item,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,order_item_id,pos_ingest_batch_id + order_id + listing_id,listing_id | order_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_payment,SOURCE_CONDITIONAL,SOURCE_CONDITIONAL,RES/POS 同步服务,SOURCE_STATE_UNTIL_TERMINAL,payment_id,source_system_id + source_payment_id,first_seen_pos_ingest_batch_id | last_seen_pos_ingest_batch_id | order_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,忠实跟随来源系统的业务状态至终态，终态后不擅自改写,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_refund,SOURCE_CONDITIONAL,SOURCE_CONDITIONAL,RES/POS 同步服务,APPEND_ONLY,refund_id,source_system_id + source_refund_id,first_seen_pos_ingest_batch_id | listing_id | order_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_member,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,CONTROLLED_UPDATE,member_id,source_system_id + source_member_id,home_location_id | merged_into_member_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_member_contact,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务的受限写入路径,CONTROLLED_UPDATE_UNTIL_TERMINAL,member_contact_id,member_id + lookup_hash + valid_from,NONE,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_member_card,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,CONTROLLED_UPDATE,member_card_id,source_system_id + source_card_id,issued_location_id | member_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
pos_member_balance_snapshot,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,member_balance_snapshot_id,member_id + snapshot_date + pos_ingest_batch_id,pos_ingest_batch_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
pos_member_card_transaction,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,member_card_transaction_id,source_system_id + location_id + source_transaction_id,location_id | member_card_id | member_id | order_id | pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,"CONSTRAINT_TRIGGER: when member_card_id is present, the referenced card must belong to member_id when member_id is also present; resolved stable IDs must agree with source IDs in the same source-system namespace",DESIGN_ONLY_NOT_EXECUTED
pos_member_daily_metric,CORE_BUSINESS,CORE_MIGRATION,RES/POS 同步服务,APPEND_ONLY,member_daily_metric_id,location_id + business_date + pos_ingest_batch_id,pos_ingest_batch_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
ops_calendar_event,CORE_BUSINESS,CORE_MIGRATION,BakeryOps 日历任务,CONTROLLED_WORKFLOW,calendar_event_id,job_run_id + jurisdiction_code + event_date + event_name,NONE,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,只允许批准的状态机迁移并记录操作者和时间,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
ops_operational_event,CORE_BUSINESS,CORE_MIGRATION,门店或区域运营,CONTROLLED_UPDATE_UNTIL_TERMINAL,operational_event_id,NONE_BEYOND_PRIMARY_KEY,created_by_user_id | location_id,NONE,LOCATION_SCOPE_SELECT + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
ops_operational_event_product,CORE_BUSINESS,CORE_MIGRATION,门店或区域运营,CONTROLLED_UPDATE_UNTIL_TERMINAL,operational_event_product_id,operational_event_id + product_id,created_by_user_id | product_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
