guardrail_type,current_object,guardrail_name,current_definition,current_enabled_or_valid,current_object_disposition,target_objects,required_action,verification_gate,implementation_status
CONSTRAINT,app_user,app_user_password_hash_check,CHECK (btrim(password_hash) <> ''::text),True,MIGRATE,app_user | app_user_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user,app_user_username_check,CHECK (btrim(username) <> ''::text),True,MIGRATE,app_user | app_user_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user,app_user_role_code_fkey,FOREIGN KEY (role_code) REFERENCES app_role(code) ON UPDATE CASCADE ON DELETE RESTRICT,True,MIGRATE,app_user | app_user_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user,app_user_pkey,PRIMARY KEY (id),True,MIGRATE,app_user | app_user_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user_store_scope,app_user_store_scope_assigned_by_fkey,FOREIGN KEY (assigned_by) REFERENCES app_user(id) ON DELETE SET NULL,True,MIGRATE_REKEY,app_user_role | app_user_location_scope,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user_store_scope,app_user_store_scope_store_fkey,FOREIGN KEY (store) REFERENCES finance_store(store) ON UPDATE CASCADE ON DELETE RESTRICT,True,MIGRATE_REKEY,app_user_role | app_user_location_scope,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user_store_scope,app_user_store_scope_user_id_fkey,FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE,True,MIGRATE_REKEY,app_user_role | app_user_location_scope,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user_store_scope,app_user_store_scope_pkey,"PRIMARY KEY (user_id, store)",True,MIGRATE_REKEY,app_user_role | app_user_location_scope,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,applications,applications_contact_status_check,"CHECK (contact_status = ANY (ARRAY['ready'::text, 'needs_manual'::text]))",True,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,applications,applications_role_area_check,"CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text]))",True,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,applications,applications_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES employees(id),True,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,applications,applications_job_opening_id_fkey,FOREIGN KEY (job_opening_id) REFERENCES job_openings(id),True,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,applications,applications_store_id_fkey,FOREIGN KEY (store_id) REFERENCES ops_store(store_code),True,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,applications,applications_pkey,PRIMARY KEY (id),True,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_kind_check,"CHECK (kind = ANY (ARRAY['interview'::text, 'trial'::text]))",True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_role_area_check,"CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text]))",True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_trial_duration_check,"CHECK (trial_duration = ANY (ARRAY['1小时'::text, '4小时'::text]))",True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_application_id_fkey,FOREIGN KEY (application_id) REFERENCES applications(id),True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_confirmed_by_user_id_fkey,FOREIGN KEY (confirmed_by_user_id) REFERENCES staff(user_id),True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_store_id_fkey,FOREIGN KEY (store_id) REFERENCES ops_store(store_code),True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,appointments,appointments_pkey,PRIMARY KEY (id),True,MIGRATE,hr_appointment,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,business_rule,business_rule_pkey,PRIMARY KEY (id),True,CLASSIFY_VERSION,ops_business_rule | v_ops_holiday_factor,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,business_rule,uk_rule_key,UNIQUE (rule_key),True,CLASSIFY_VERSION,ops_business_rule | v_ops_holiday_factor,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,candidate_conversations,candidate_conversations_state_check,"CHECK (state = ANY (ARRAY['INTAKE'::text, 'AWAITING_INTERVIEW_CONFIRM'::text, 'INTERVIEW_SCHEDULED'::text, 'AWAITING_TRIAL_CONFIRM'::text, 'TRIAL_SCHEDULED'::text, 'POST_TRIAL'::text, 'DONE'::text, 'OPTED_OUT'::text]))",True,SPLIT,msg_conversation | msg_conversation_state | hr_application,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,candidate_conversations,candidate_conversations_application_id_fkey,FOREIGN KEY (application_id) REFERENCES applications(id),True,SPLIT,msg_conversation | msg_conversation_state | hr_application,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,candidate_conversations,candidate_conversations_store_id_fkey,FOREIGN KEY (store_id) REFERENCES ops_store(store_code),True,SPLIT,msg_conversation | msg_conversation_state | hr_application,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,candidate_conversations,candidate_conversations_pkey,PRIMARY KEY (id),True,SPLIT,msg_conversation | msg_conversation_state | hr_application,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,candidate_conversations,candidate_conversations_store_id_phone_key,"UNIQUE (store_id, phone)",True,SPLIT,msg_conversation | msg_conversation_state | hr_application,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,chat_history,chat_history_role_check,"CHECK (role = ANY (ARRAY['user'::text, 'assistant'::text]))",True,RETENTION_FILTER,msg_conversation | msg_message,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,chat_history,chat_history_pkey,PRIMARY KEY (id),True,RETENTION_FILTER,msg_conversation | msg_message,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,context_event,context_event_pkey,PRIMARY KEY (id),True,CLASSIFY_SPLIT,ops_calendar_event | ops_operational_event,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item,cost_card_item_base_unit_check,CHECK (btrim(base_unit) <> ''::text),True,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item,cost_card_item_item_type_check,"CHECK (item_type = ANY (ARRAY['product'::text, 'semi_finished'::text, 'ingredient'::text, 'packaging'::text]))",True,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item,cost_card_item_name_check,CHECK (btrim(name) <> ''::text),True,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item,cost_card_item_status_check,"CHECK (status = ANY (ARRAY['active'::text, 'inactive'::text, 'archived'::text]))",True,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item,cost_card_item_pkey,PRIMARY KEY (id),True,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_name_lock,cost_card_item_name_lock_name_key_check,CHECK (name_key = lower(btrim(name_key)) AND name_key <> ''::text),True,RETIRE,NONE,ARCHIVE_AND_PROVE_NO_RUNTIME_DEPENDENCY,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_name_lock,cost_card_item_name_lock_revision_check,CHECK (revision >= 0),True,RETIRE,NONE,ARCHIVE_AND_PROVE_NO_RUNTIME_DEPENDENCY,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_name_lock,cost_card_item_name_lock_pkey,PRIMARY KEY (name_key),True,RETIRE,NONE,ARCHIVE_AND_PROVE_NO_RUNTIME_DEPENDENCY,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_currency_check,CHECK (currency::text ~ '^[A-Z]{3}$'::text),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_price_unit_check,CHECK (btrim(price_unit) <> ''::text),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_quantity_check,CHECK (price_quantity > 0::numeric),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_range_check,CHECK (effective_to IS NULL OR effective_to >= effective_from),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_source_check,CHECK (btrim(source) <> ''::text),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_unit_price_check,CHECK (unit_price >= 0::numeric),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_verification_state_check,"CHECK (verification_state = ANY (ARRAY['verified'::text, 'pending_verification'::text, 'legacy_unverified'::text]))",True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_created_by_fkey,FOREIGN KEY (created_by) REFERENCES app_user(id) ON DELETE SET NULL,True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_item_id_fkey,FOREIGN KEY (item_id) REFERENCES cost_card_item(id),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_item_price,cost_card_item_price_pkey,PRIMARY KEY (id),True,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_product_link,cost_card_product_link_item_id_fkey,FOREIGN KEY (item_id) REFERENCES cost_card_item(id) ON DELETE RESTRICT,True,REMODEL,pos_product_mapping | pos_product_mapping_review | cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_product_link,cost_card_product_link_pkey,PRIMARY KEY (pos_item_id),True,REMODEL,pos_product_mapping | pos_product_mapping_review | cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_batch_unit_check,CHECK (btrim(batch_unit) <> ''::text),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_batch_yield_check,CHECK (batch_yield > 0::numeric),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_effective_range_check,CHECK (effective_to IS NULL OR effective_from IS NULL OR effective_to >= effective_from),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_publish_date_check,CHECK (status <> 'published'::text OR effective_from IS NOT NULL),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_row_version_check,CHECK (row_version > 0),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_sale_price_check,CHECK (sale_price IS NULL OR sale_price >= 0::numeric),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_status_check,"CHECK (status = ANY (ARRAY['draft'::text, 'published'::text, 'archived'::text]))",True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,cost_card_recipe,cost_card_recipe_version_check,CHECK (version > 0),True,VERSION_IN_PLACE,cost_card_recipe_version,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
