object_type,object_name,row_count_exact,purpose_or_comment,grain,grain_evidence_status,primary_key,foreign_keys,unique_constraints,check_constraints,static_runtime_readers,static_runtime_writers,disposition,target_objects,risk
table,business_rule,16,所有权=bakery-ops，唯一写者 src/modules/data/repositories/forecast-calc.repository.ts updateBusinessRule()，编辑入口 settings-page.tsx。承载 bakery-ops 自有的运营口径 KV（beverageItems=现制饮品清单、stockoutExcludeItems=非生产品清单、breakStockThresholds、shipmentFormula 等）。财务站与 res_api 不得写入。,结构上由 PRIMARY KEY (id) 唯一标识；业务粒度仍需由写入方确认,合理推测：结构约束,PRIMARY KEY (id),,UNIQUE (rule_key),,bakery_ops,未由静态扫描确认,CLASSIFY_VERSION,ops_business_rule | v_ops_holiday_factor,HIGH
table,candidate_conversations,42,"候选人 WhatsApp 跨天对话状态机，一行一个（门店, 手机号），state 是 FSM 节点、context 是 JSONB 暂存、opted_out 标记候选人回复 STOP，由 bakery-ops 招聘 FSM 写入。它是持久化的候选人会话，区别于 session_state（内部用户 10 分钟 TTL 的临时会话）","候选人 WhatsApp 跨天对话状态机，一行一个（门店, 手机号），state 是 FSM 节点、context 是 JSONB 暂存、opted_out 标记候选人回复 STOP，由 bakery-ops 招聘 FSM 写入",已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (application_id) REFERENCES applications(id) | FOREIGN KEY (store_id) REFERENCES ops_store(store_code),"UNIQUE (store_id, phone)","CHECK (state = ANY (ARRAY['INTAKE'::text, 'AWAITING_INTERVIEW_CONFIRM'::text, 'INTERVIEW_SCHEDULED'::text, 'AWAITING_TRIAL_CONFIRM'::text, 'TRIAL_SCHEDULED'::text, 'POST_TRIAL'::text, 'DONE'::text, 'OPTED_OUT'::text]))",未由静态扫描确认,未由静态扫描确认,SPLIT,msg_conversation | msg_conversation_state | hr_application,HIGH
table,chat_history,12,多轮对话的最近上下文窗口，一行一条消息（会话 id + user/assistant 角色 + 正文）。注意它不是完整聊天存档：每次落盘按会话整段删除后重插裁剪过的最近若干轮，所以主键不连续、行数远少于真实对话量。由 bakery-ops orchestrator 的 ConversationManager 写入,多轮对话的最近上下文窗口，一行一条消息（会话 id + user/assistant 角色 + 正文）,已确认：生产库表注释,PRIMARY KEY (id),,,"CHECK (role = ANY (ARRAY['user'::text, 'assistant'::text]))",未由静态扫描确认,未由静态扫描确认,RETENTION_FILTER,msg_conversation | msg_message,MEDIUM
table,context_event,14,按日期的上下文事件，一行一条（同一天可多条）：天气、促销等，运行时拼进 AI prompt 以影响次日排产系数；created_by 区分 review（复盘流程自动写入）和 user（人工填写）；bakery-ops holiday.repository 写。目前仅有 2026-04 试运行期的数据，之后未再写入,按日期的上下文事件，一行一条（同一天可多条）：天气、促销等，运行时拼进 AI prompt 以影响次日排产系数,已确认：生产库表注释,PRIMARY KEY (id),,,,bakery_ops,未由静态扫描确认,CLASSIFY_SPLIT,ops_calendar_event | ops_operational_event,HIGH
table,cost_card_item,471,成本卡物料主数据，一行一个物料，item_type 区分 product 94 / semi_finished 162 / ingredient 184 / packaging 11（共451，全部 active）。由财务分析网站（Vercel，api/cost-items.js）读写。注意：与运营库 product 表是两套互不相干的商品主数据，无外键无映射，按名称仅约 22/54 能对上，勿当同一套用,成本卡物料主数据，一行一个物料，item_type 区分 product 94 / semi_finished 162 / ingredient 184 / packaging 11（共451，全部 active）,已确认：生产库表注释,PRIMARY KEY (id),,,"CHECK (btrim(base_unit) <> ''::text) | CHECK (item_type = ANY (ARRAY['product'::text, 'semi_finished'::text, 'ingredient'::text, 'packaging'::text])) | CHECK (btrim(name) <> ''::text) | CHECK (status = ANY (ARRAY['active'::text, 'inactive'::text, 'archived'::text]))",finance_web,finance_web,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,CRITICAL
table,cost_card_item_name_lock,464,Internal mutex rows used to serialize normalized cost-card item names; not business master data.,结构上由 PRIMARY KEY (name_key) 唯一标识；业务粒度仍需由写入方确认,合理推测：结构约束,PRIMARY KEY (name_key),,,CHECK (name_key = lower(btrim(name_key)) AND name_key <> ''::text) | CHECK (revision >= 0),未由静态扫描确认,未由静态扫描确认,RETIRE,,LOW
table,cost_card_item_price,344,成本卡物料采购价历史，一行一条带生效区间的价格；同时存原始报价（unit_price + currency + price_unit）与归一化后的 normalized_price_myr / normalized_unit，成本计算只认归一化值。财务分析网站写，当前 339 条全部为 MYR、全部 verified，来源均为 MySQL 迁移与回填,成本卡物料采购价历史，一行一条带生效区间的价格,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (created_by) REFERENCES app_user(id) ON DELETE SET NULL | FOREIGN KEY (item_id) REFERENCES cost_card_item(id),,"CHECK (currency::text ~ '^[A-Z]{3}$'::text) | CHECK (btrim(price_unit) <> ''::text) | CHECK (price_quantity > 0::numeric) | CHECK (effective_to IS NULL OR effective_to >= effective_from) | CHECK (btrim(source) <> ''::text) | CHECK (unit_price >= 0::numeric) | CHECK (verification_state = ANY (ARRAY['verified'::text, 'pending_verification'::text, 'legacy_unverified'::text]))",finance_web,finance_web,MIGRATE_REKEY,scm_supplier_price_observation | cost_card_material_price,CRITICAL
table,cost_card_product_link,37,"POS 商品身份 ↔ 成本卡配方，全局唯一，不分 org 不分门店。pos_item_id = pos_product.item_id，也就是 item_hourly_sales.item_key 的第三段（split_part(item_key,'-',3)）—— item_key 前两段是 org 前缀，不参与映射。一个 POS 商品只能对一张成本卡；一张成本卡可以对多个 POS 商品（同配方不同包装）。映射为人工建立，note 列记录判断依据，不可由程序自动重建。",结构上由 PRIMARY KEY (pos_item_id) 唯一标识；业务粒度仍需由写入方确认,合理推测：结构约束,PRIMARY KEY (pos_item_id),FOREIGN KEY (item_id) REFERENCES cost_card_item(id) ON DELETE RESTRICT,,,未由静态扫描确认,未由静态扫描确认,REMODEL,pos_product_mapping | pos_product_mapping_review | cost_card_recipe_version,CRITICAL
table,cost_card_product_link_pre080,94,迁移 080 的留档：重挂前的 94 行旧映射（external_source=mysql:v_product_direct）。确认新映射无误后可 DROP。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,ARCHIVE_DROP,,LOW
table,cost_card_recipe,289,成本卡配方头表，一行一个物料的一个配方版本（item_id+version 唯一，status 为 draft/published/archived，带 batch_yield 批产量与 sale_price 售价、生效区间）。财务分析网站写，当前 256 条 published、2 条 archived；配方用料明细在子表 cost_card_recipe_item,成本卡配方头表，一行一个物料的一个配方版本（item_id+version 唯一，status 为 draft/published/archived，带 batch_yield 批产量与 sale_price 售价、生效区间）,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (created_by) REFERENCES app_user(id) ON DELETE SET NULL | FOREIGN KEY (item_id) REFERENCES cost_card_item(id) | FOREIGN KEY (published_by) REFERENCES app_user(id) ON DELETE SET NULL,"UNIQUE (item_id, version)","CHECK (btrim(batch_unit) <> ''::text) | CHECK (batch_yield > 0::numeric) | CHECK (effective_to IS NULL OR effective_from IS NULL OR effective_to >= effective_from) | CHECK (status <> 'published'::text OR effective_from IS NOT NULL) | CHECK (row_version > 0) | CHECK (sale_price IS NULL OR sale_price >= 0::numeric) | CHECK (status = ANY (ARRAY['draft'::text, 'published'::text, 'archived'::text])) | CHECK (version > 0)",finance_web,finance_web,VERSION_IN_PLACE,cost_card_recipe_version,CRITICAL
table,cost_card_recipe_item,1527,成本卡配方明细行，一行一条用料（recipe_id 指向配方版本，component_item_id 指向 cost_card_item，含用量/单位/出成率 net_yield/损耗率 loss_rate/排序 seq）。财务分析网站写，是 cost_card_recipe 的子表，删配方时级联删除,成本卡配方明细行，一行一条用料（recipe_id 指向配方版本，component_item_id 指向 cost_card_item，含用量/单位/出成率 net_yield/损耗率 loss_rate/排序 seq）,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (component_item_id) REFERENCES cost_card_item(id) | FOREIGN KEY (recipe_id) REFERENCES cost_card_recipe(id) ON DELETE CASCADE,"UNIQUE (recipe_id, seq)",CHECK (loss_rate >= 0::numeric AND loss_rate < 1::numeric) | CHECK (net_yield > 0::numeric AND net_yield <= 1::numeric) | CHECK (quantity > 0::numeric) | CHECK (seq > 0) | CHECK (btrim(unit) <> ''::text),finance_web,finance_web,MIGRATE_REKEY,cost_card_recipe_component,CRITICAL
table,daily_breakdown,760,天 × 维度的营收拆分。dim_type=payment 时 dim_value 是支付方式，=dining 时是就餐方式。,"结构上由 PRIMARY KEY (date, dim_type, dim_value) 唯一标识；业务粒度仍需由写入方确认",合理推测：结构约束,"PRIMARY KEY (date, dim_type, dim_value)",,,"CHECK (dim_type = ANY (ARRAY['payment'::text, 'dining'::text]))",bakery_ops、res_api,res_api,MIGRATE,pos_daily_breakdown | v_pos_daily_breakdown_current,HIGH
table,daily_push_log,161,"定时推送幂等日志，一行 = 某类推送对某个接收人在某天已成功发出一次，(kind, recipient, date) 唯一，服务重启或重跑靠它避免重复推送；bakery-ops 各推送服务写，kind 取值有 morning_brief、production_plan、restock_advice、stockout_detect、order_reminder、weekly_report、jobstreet_pull。非业务表，recipient 是渠道用户 ID","定时推送幂等日志，一行 = 某类推送对某个接收人在某天已成功发出一次，(kind, recipient, date) 唯一，服务重启或重跑靠它避免重复推送",已确认：生产库表注释,PRIMARY KEY (id),,"UNIQUE (kind, recipient, date)",,bakery_ops,bakery_ops,MERGE_QUEUE_NATURAL_KEY,msg_outbound_message,MEDIUM
table,daily_revenue,242,按天一行的门店营收事实表（date 唯一、text 类型，含流水 gross_sales、折扣、实收 revenue、单量、客单价），2025-12-03 起每晚 KL 23:00 由 res_api/sync-to-db.js 从 Restosuite POS 写入，财务站日报导入的旧客户端路径也能写同一行。区别于 finance_revenue_daily（财务模板口径、date+store 唯一的隔离表）和 daily_pnl（Excel 损益表口径）；store / import_source 两列目前全为 NULL（单门店）,按天一行的门店营收事实表（date 唯一、text 类型，含流水 gross_sales、折扣、实收 revenue、单量、客单价），2025-12-03 起每晚 KL 23:00 由 res_api/sync-to-db.js 从 Restosuite POS 写入，财务站日报导入的旧客户端路径也能写同一行,已确认：生产库表注释,,,"UNIQUE (date) | UNIQUE (date, store)",,bakery_ops、finance_web、res_api,finance_web、res_api,SPLIT_BY_WRITER,pos_sales_day | finance_sales_daily,CRITICAL
table,daily_review,16,AI 生成的每日复盘报告，一天一行（date 唯一）：review_json 是复盘结论、suggestions_json 是次日排产调整建议、adopted 标记是否被采纳；bakery-ops daily-review.service 写。务必与 manager_review 区分——本表是机器生成的结构化复盘，manager_review 是店长手写的复盘原文；本表数据停在 2026-04，当前实际在跑的是 daily-review-chat 那条链路,AI 生成的每日复盘报告，一天一行（date 唯一）：review_json 是复盘结论、suggestions_json 是次日排产调整建议、adopted 标记是否被采纳,已确认：生产库表注释,PRIMARY KEY (id),,UNIQUE (date),,bakery_ops,bakery_ops,MIGRATE,ops_daily_review | ops_review_action,HIGH
table,employee_events,0,员工事件流水（转正、奖惩、离职等），一行一个事件，外键挂 employees.id，由 bakery-ops 员工管理/试用期提醒链路写入。当前 0 行，代码已接线但尚未产生数据。与 audit_log（skill 执行日志）、app_audit_log（财务站增删改审计）无关,员工事件流水（转正、奖惩、离职等），一行一个事件，外键挂 employees.id，由 bakery-ops 员工管理/试用期提醒链路写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (employee_id) REFERENCES employees(id) ON DELETE CASCADE,,,bakery_ops,未由静态扫描确认,MIGRATE_REKEY,hr_employee_event,MEDIUM
table,employees,129,员工与候选人主档，一行一人（status: active 在职 / resigned 离职），由 bakery-ops 的员工管理、简历上传与招聘 FSM 写入；现有 129 行几乎全部是 2026-06-18 从 HOTCRUSH_EMPLOYEE.xlsx 一次性导入的历史花名册。区别于 applications：applications 是候选人投递记录，只有走到录用才把 applications.employee_id 回填指向本表（目前 0 条关联）,员工与候选人主档，一行一人（status: active 在职 / resigned 离职），由 bakery-ops 的员工管理、简历上传与招聘 FSM 写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (store_id) REFERENCES ops_store(store_code),,,bakery_ops,未由静态扫描确认,SPLIT_IDENTITY,hr_person | hr_person_contact | hr_application | hr_application_stage_event | hr_employment | hr_employee_event | hr_employment_source_identity | hr_employment_mapping_review,CRITICAL
table,fact_hbti_response,1,所有权=hbti-web。HBTI 13 题的题目级原始作答，抢锁成功那一刻写一次。写入点 src/lib/store/pg-completion-store.ts recordAnswers()，与 pos_member.hbti_completed_at 同时刻。★永久事实，不带 TTL —— 绝不可加进 purgeExpired 的 EXPIRING 列表（它也没有 expires_at 列，加了会 42703）。,"结构上由 PRIMARY KEY (store, member_id, campaign_version, attempt_id) 唯一标识；业务粒度仍需由写入方确认",合理推测：结构约束,"PRIMARY KEY (store, member_id, campaign_version, attempt_id)",,,"CHECK (jsonb_typeof(answers) = 'object'::text AND answers ?& ARRAY['q1'::text, 'q2'::text, 'q3'::text, 'q4'::text, 'q5'::text, 'q6'::text, 'q7'::text, 'q8'::text, 'q9'::text, 'q10'::text, 'q11'::text, 'q12'::text, 'q13'::text])",hbti_web,hbti_web,NORMALIZE,mkt_campaign_version | mkt_campaign_member | mkt_survey_question | mkt_survey_response | mkt_survey_answer | mkt_survey_result,HIGH
table,fact_shift,0,排班事实。一行 = 一天 × 一个人。由门店每天填的 Excel 导入（docs/templates/排班表.xlsx）。★最小事实：只存 duration_h，总工时与人效一律由 v_labor_productivity 现算，不落表。post='OFF' 表示当天休息，保留在表里是为了让这张表同时是当日全员花名册。,一行 = 一天 × 一个人,已确认：生产库表注释,"PRIMARY KEY (work_date, store_id, staff_name)",FOREIGN KEY (store_id) REFERENCES ops_store(store_code) ON UPDATE CASCADE ON DELETE RESTRICT,,"CHECK (area = ANY (ARRAY['后厨'::text, '前场'::text])) | CHECK (duration_h IS NULL OR duration_h <= 16::numeric) | CHECK (post = 'OFF'::text AND duration_h IS NULL AND on_time IS NULL AND off_time IS NULL OR post <> 'OFF'::text AND duration_h IS NOT NULL AND duration_h > 0::numeric)",未由静态扫描确认,未由静态扫描确认,REMODEL,app_job_run | ops_shift_plan_version | ops_role | ops_station | ops_shift_requirement | ops_shift_assignment | hr_employment_mapping_review,CRITICAL
table,finance_cashflow,42,门店现金流月表，一行 = 月×门店×项目(期初/现金收入/现金支出/现金退款/现金存入/现金余额)，覆盖 2025-12 至 2026-06；模板六收付款现金流口径，由财务站网页上传与 scripts/import-cashflow.js 写入,门店现金流月表，一行 = 月×门店×项目(期初/现金收入/现金支出/现金退款/现金存入/现金余额)，覆盖 2025-12 至 2026-06,已确认：生产库表注释,"PRIMARY KEY (month, store, item)",,,,finance_web,finance_web,MIGRATE,finance_import_batch | finance_cashflow_line,MEDIUM
table,finance_expense,103,门店月度费用归口汇总，一行 = 月×门店×费用大类(major：仓储费/运输费/物料费/其他费用)×子类(sub)×资金来源(source)；由财务站网页上传(api/upload.js，模板三仓运物流+模板四费用表)写入，供损益表与期间费用分层计算。注意与 finance_expense_raw 区分：本表是归口后进损益的费用口径，raw 表是同一批费用按支付渠道的原始拆分明细,门店月度费用归口汇总，一行 = 月×门店×费用大类(major：仓储费/运输费/物料费/其他费用)×子类(sub)×资金来源(source),已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MERGE_TYPED,finance_import_batch | finance_monthly_cost_line,MEDIUM
table,finance_expense_raw,90,门店费用原始拆分明细，一行 = 月×门店×分类×二次分类×支付渠道(银行流水/备用金/报销/现金/收银折扣/仓库订货)的一笔金额，覆盖 2025-12 至 2026-05。仅由一次性脚本 sql/load2.js 从模板四导入，网页上传不写此表；与 finance_expense 的区别是本表按付款渠道记原始明细、不直接进损益归口,门店费用原始拆分明细，一行 = 月×门店×分类×二次分类×支付渠道(银行流水/备用金/报销/现金/收银折扣/仓库订货)的一笔金额，覆盖 2025-12 至 2026-05,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MERGE_TYPED,finance_import_batch | finance_monthly_cost_line,HIGH
table,finance_item_sales,76,单品销售的月度汇总，一行 = 月×门店×单品(数量+金额)，目前只有 2025-12 一个月。粒度与来源都要和兄弟表分清：daily_sales_record 是按天、item_hourly_sales 是按小时且都由 res_api 爬虫从 POS 写入，本表是按月且来自财务模板上传,单品销售的月度汇总，一行 = 月×门店×单品(数量+金额)，目前只有 2025-12 一个月,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MIGRATE_REKEY,finance_item_sales_monthly,MEDIUM
table,finance_labor,6,旧版四维人工成本月表，一行 = 月×门店，只有国内/马来/外包/福利四列合计。已被 finance_labor_detail(模板五新口径)取代，网页上传已明确停止接收该模板(legacy_template_unsupported)，仅作前端缺数时的历史兜底读取，勿再写入,旧版四维人工成本月表，一行 = 月×门店，只有国内/马来/外包/福利四列合计,已确认：生产库表注释,"PRIMARY KEY (month, store)",,,,finance_web,finance_web,ARCHIVE_COMPAT,finance_monthly_cost_line,HIGH
table,finance_labor_detail,148,现行人工成本明细，一行 = 月×门店×类别(工资/宿舍/福利/挂账/调整/马来明细/国内工资分摊)×子项×组织；模板五新口径，由财务站网页上传写入，是人工成本的唯一权威表，取代旧的四维表 finance_labor,现行人工成本明细，一行 = 月×门店×类别(工资/宿舍/福利/挂账/调整/马来明细/国内工资分摊)×子项×组织,已确认：生产库表注释,"PRIMARY KEY (month, store, category, item, org)",,,CHECK (category <> '国内工资分摊'::text OR btrim(org) <> ''::text),finance_web,finance_web,MERGE_TYPED,finance_import_batch | finance_monthly_cost_line,MEDIUM
table,finance_material,48,月度原料成本汇总，一行 = 月×门店×类别(食材/包材)×来源；由财务站网页上传利润表模板写入，目前 source 全部为未拆分。粒度是按月的成本合计，不含单品或供应商明细（后者见 finance_supplier_orders）,月度原料成本汇总，一行 = 月×门店×类别(食材/包材)×来源,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MERGE_TYPED,finance_import_batch | finance_monthly_cost_line,MEDIUM
table,finance_order_base,7,月度订货基数，一行 = 月×门店一个金额(MYR，当月仓库订货总额)，用作仓储费按3%、运输费按8%摊销的计算分母；由财务站网页上传写入，个别月份由对账迁移脚本(033/041)按财务确认值校正,月度订货基数，一行 = 月×门店一个金额(MYR，当月仓库订货总额)，用作仓储费按3%、运输费按8%摊销的计算分母,已确认：生产库表注释,"PRIMARY KEY (month, store)",,,,finance_web,finance_web,MERGE_METRIC,finance_monthly_metric,MEDIUM
table,finance_orders,19,物流订货台账，一行 = 一张订货单中的一个商品行，带订货/付款/发货/到港/交付/入库六个日期，按 d_order 日期归月，现有 2026-06 与 2026-07 数据；由财务站网页上传库存模板写入。与 finance_supplier_orders 的区别：本表是单据级明细含全套物流时间戳，那张是按月×供应商×物料的金额聚合,物流订货台账，一行 = 一张订货单中的一个商品行，带订货/付款/发货/到港/交付/入库六个日期，按 d_order 日期归月，现有 2026-06 与 2026-07 数据,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MIGRATE,finance_order_logistics_line,MEDIUM
table,finance_period_map,29,期间费用归类配置，一行 = 费用大类(major)×子类(sub) → 销售/管理/财务/研发费用；全局共用不分门店。损益表据此做期间费用分层，未命中的科目落入待归类并阻断正式损益表导出。人工侧只有 category=工资 的行会进期间费用（与利润表「人力成本」同口径），宿舍/福利/挂账的映射仅供费用穿透页使用,期间费用归类配置，一行 = 费用大类(major)×子类(sub) → 销售/管理/财务/研发费用,已确认：生产库表注释,"PRIMARY KEY (major, sub)",,,"CHECK (period = ANY (ARRAY['销售费用'::text, '管理费用'::text, '财务费用'::text, '研发费用'::text]))",finance_web,未由静态扫描确认,VERSION,finance_period_category_map,MEDIUM
