project,project_code,current_object,static_access_evidence,runtime_or_script_reference_count,top_files,target_contract,compatibility_rule,migration_risk,project_target_write_boundary,project_boundary,evidence_limit
BakeryOps,bakery_ops,item_hourly_sales,READ + AMBIGUOUS,42,src/modules/domain/forecast/stockout-detector.service.ts (11) | src/modules/domain/forecast/ops-data-query.ts (7) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (6) | src/modules/skills/forecast-review/forecast-review.definition.ts (3) | src/modules/domain/forecast/beverage-caliber.ts (2) | src/modules/domain/forecast/product-demand.ts (2) | src/modules/domain/forecast/sell-through.ts (2) | src/modules/skills/forecast-order/forecast-order.definition.ts (2),pos_ingest_batch | pos_product_listing | pos_item_sales_hour,res_api全量与日中同步都必须写listing_id、location_id和幂等批次。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,item_last_sale,READ + AMBIGUOUS,8,src/modules/domain/forecast/stockout-detector.service.ts (7) | src/ui/components/pages/review-page.tsx (1),ops_stockout_event,断货检测改用索引查询和确认事件。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,item_waste,READ + AMBIGUOUS,16,src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (3) | src/modules/skills/forecast-review/forecast-review.definition.ts (3) | src/modules/domain/forecast/forecast.service.ts (2) | src/modules/domain/forecast/sell-through.ts (2) | src/modules/domain/forecast/stockout-detector.service.ts (2) | src/modules/domain/notifications/morning-brief.service.ts (2) | src/modules/domain/notifications/weekly-report.service.ts (2),pos_item_waste | v_pos_item_waste_current | v_pos_item_waste_mapped,res_api写新报废表；下游只读 current/mapped 视图并把来源金额与派生成本损失分开展示。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,offers,AMBIGUOUS,1,src/modules/domain/recruitment/recruitment-vocab.ts (1),hr_offer,BakeryOps改写hr_offer；不使用可更新兼容视图做ON CONFLICT。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,out_of_stock_record,READ + AMBIGUOUS,6,src/modules/skills/forecast-review/forecast-review.definition.ts (2) | src/app/api/ai-product-correction/route.ts (1) | src/modules/domain/forecast/stockout-detector.service.ts (1) | src/modules/domain/notifications/morning-brief.service.ts (1) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (1),ops_stockout_event,断货服务改写ops域确认状态；POS同步服务不写该表。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,pos_product,READ + AMBIGUOUS,6,src/modules/domain/forecast/beverage-caliber.ts (2) | src/modules/domain/forecast/ops-data-query.ts (2) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (2),pos_product_listing | pos_product_mapping | ops_product,res_api只写 listing 当前目录；产品主数据流程写 mapping；来源成本字段仅用于核对。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,product,READ + WRITE + AMBIGUOUS,135,src/modules/domain/forecast/engine/product-suggestion.ts (20) | src/modules/domain/forecast/engine/timeslot-allocation.ts (13) | src/modules/domain/forecast/correction-math.ts (11) | src/modules/domain/forecast/parsers/excel-parser.ts (11) | scripts/explore/test-wms-product-order.ts (8) | src/modules/domain/forecast/engine/sales-baseline.ts (8) | src/modules/skills/forecast-review/forecast-review.definition.ts (7) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (6),ops_product | ops_business_rule | v_pos_item_sales_day | v_ops_timeslot_sales_baseline,BakeryOps产品API改用 product_id；地点策略按发生时有效的业务规则版本读取，实际销售比例和基线只读视图，规则参考价不能当成交价。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,product_alias,READ + AMBIGUOUS,6,src/modules/skills/forecast-review/forecast-review.definition.ts (5) | src/modules/domain/forecast/forecast.service.ts (1),ops_product_alias,导入匹配只用CONFIRMED别名。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,product_material_cost,READ,2,src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (2),v_cost_card_product_cost_quality,BakeryOps复盘先适配新字段，再移除兼容视图。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,prompt_segment,READ,1,src/modules/domain/forecast/prompt-engine.ts (1),ai_prompt_segment | ai_prompt_template_segment,片段内容变化新增 segment version；模板组合变化新增 template version。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,prompt_template,READ + AMBIGUOUS,2,src/modules/domain/forecast/gemini-client.ts (1) | src/modules/domain/forecast/prompt-engine.ts (1),ai_prompt_template | ai_prompt_template_segment,AI调用必须记录具体prompt_template_id；创建新版本而不是覆盖旧行。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,schema_migrations,READ + AMBIGUOUS,3,scripts/check-migrations.ts (3),app_schema_migration,"四个仓库使用(repository_code,migration_version)唯一键。",CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,screening_rules,AMBIGUOUS,2,src/modules/domain/employee/rule-extractor.ts (2),hr_screening_rule,招聘流程只展示ACTIVE风险提示，不自动拒绝。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,session_state,AMBIGUOUS,2,src/bootstrap.ts (1) | src/modules/domain/recruitment/intake/candidate-fsm.ts (1),msg_conversation | msg_conversation_state,编排器切新状态表。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,staff,AMBIGUOUS,30,src/modules/domain/recruitment/jd-generator.ts (9) | src/modules/domain/recruitment/jd-parser.ts (5) | src/bootstrap.ts (2) | src/modules/domain/lark/lark-org-sync.service.ts (2) | src/modules/orchestrator/department-resolver.ts (2) | scripts/explore/test-cookie-crawl.ts (1) | scripts/explore/test-debug-search.ts (1) | scripts/explore/test-direct-search.ts (1),hr_person | hr_person_contact | hr_employment | hr_employment_source_identity | hr_employment_mapping_review | app_user | app_user_role | app_user_location_scope,班表和工时只用employment_id；通知按app_user.notification_subscription_codes，权限按user_role+location_scope；未确认员工映射进入BLOCKER。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,timeslot_sales_record,READ + AMBIGUOUS,3,src/app/api/ai-product-correction/route.ts (1) | src/app/api/ai-timeslot/route.ts (1) | src/modules/domain/forecast/stockout-detector.service.ts (1),v_ops_timeslot_sales_baseline,预测调用改用稳定ID。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,trials,AMBIGUOUS,17,src/modules/domain/recruitment/digest/trial-digest.service.ts (15) | src/modules/domain/recruitment/digest/digest-binding.store.ts (1) | src/modules/domain/recruitment/recruitment-vocab.ts (1),hr_appointment | hr_assessment | hr_assessment_score,招聘流程用appointment承接试工执行，用assessment承接评价，不再维护重复trial主表。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,wa_outbound_queue,READ + WRITE + AMBIGUOUS,7,scripts/clear-queued.ts (6) | src/modules/channel/whatsapp/outbound.worker.ts (1),msg_outbound_message,WhatsApp worker切新队列和幂等键。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,wa_send_log,AMBIGUOUS,3,src/modules/channel/whatsapp/outbound.config.ts (1) | src/modules/channel/whatsapp/outbound.worker.ts (1) | src/modules/channel/whatsapp/whatsapp.adapter.ts (1),msg_outbound_message | msg_delivery_attempt | msg_delivery_event,当前送达状态与推送成功去重结论均由治理视图派生；限额由投递尝试汇总，不保留手机号散列之外的冗余。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
财务网站,finance_web,app_audit_log,READ + WRITE + AMBIGUOUS,13,api/_lib/import-batch.js (5) | api/import-history.js (3) | api/audit.js (2) | api/cost-cards.js (2) | api/_lib/auth.js (1),app_audit_event,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH,finance_*、cost_card_*、app_user / app_role / app_audit_event,财务导入事实不得反写覆盖 POS；成本卡采用价与供应商原始报价分开；所有地点和产品使用稳定 ID。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
财务网站,finance_web,app_role,READ + AMBIGUOUS,6,api/users.js (3) | api/_lib/auth.js (2) | scripts/create-admin.js (1),app_role,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM,finance_*、cost_card_*、app_user / app_role / app_audit_event,财务导入事实不得反写覆盖 POS；成本卡采用价与供应商原始报价分开；所有地点和产品使用稳定 ID。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
财务网站,finance_web,app_session,READ + WRITE,5,api/_lib/auth.js (4) | api/users.js (1),app_session,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH,finance_*、cost_card_*、app_user / app_role / app_audit_event,财务导入事实不得反写覆盖 POS；成本卡采用价与供应商原始报价分开；所有地点和产品使用稳定 ID。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
财务网站,finance_web,app_user,READ + WRITE + AMBIGUOUS,37,api/users.js (14) | api/auth.js (12) | scripts/create-admin.js (4) | api/_lib/auth.js (2) | api/audit.js (2) | api/_lib/permissions.js (1) | api/import-history.js (1) | js/cost-card.js (1),app_user | app_user_role,登录接口支持一次性强制改密，不复制明文或临时密码。,HIGH,finance_*、cost_card_*、app_user / app_role / app_audit_event,财务导入事实不得反写覆盖 POS；成本卡采用价与供应商原始报价分开；所有地点和产品使用稳定 ID。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
财务网站,finance_web,app_user_store_scope,READ,1,api/_lib/store-scope.js (1),app_user_role | app_user_location_scope,财务网站切换后按 user_role_id + location_id 校验范围；旧接口只在已确认的一对一适配层中接受 user_id/store。,HIGH,finance_*、cost_card_*、app_user / app_role / app_audit_event,财务导入事实不得反写覆盖 POS；成本卡采用价与供应商原始报价分开；所有地点和产品使用稳定 ID。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
财务网站,finance_web,cost_card_item,READ + WRITE + AMBIGUOUS,31,api/cost-items.js (17) | api/cost-cards.js (10) | api/cost-dashboard.js (3) | js/cost-card.js (1),ops_product | ops_product_alias | scm_material | scm_material_source_identity,财务成本卡UI重构为产品与原料两套主数据；旧item id通过迁移清单映到product/material，372条物料另有来源身份；任何未知类型、单位或多路命中都阻断。,CRITICAL,finance_*、cost_card_*、app_user / app_role / app_audit_event,财务导入事实不得反写覆盖 POS；成本卡采用价与供应商原始报价分开；所有地点和产品使用稳定 ID。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
